date,portfolio_value
2024-10-16,110353.56108000015
2024-10-17,110363.01108000016
2024-10-18,110793.93108000015
2024-10-21,110627.61108000015
2024-10-22,110553.90108000016
2024-10-23,109554.09108000014
2024-10-24,109779.00108000015
2024-10-25,109737.42108000015
2024-10-28,110070.06108000015
2024-10-29,110245.83108000015
2024-10-30,109918.86108000015
2024-10-31,107743.47108000015
2024-11-01,108229.20108000014
2024-11-04,107992.95108000014
2024-11-05,109298.94108000015
2024-11-06,112005.42108000015
2024-11-07,112901.28108000015
2024-11-08,113373.78108000015
2024-11-11,113479.62108000014
2024-11-12,113121.46608000014
2024-11-13,113179.11108000015
2024-11-14,112460.91108000014
2024-11-15,111009.39108000015
2024-11-18,111476.22108000015
2024-11-19,111850.44108000015
2024-11-20,111907.14108000015
2024-11-21,112507.21608000014
2024-11-22,112854.03108000015
2024-11-25,113230.14108000015
2024-11-26,113841.55608000015
2024-11-27,113455.05108000014
2024-11-29,114175.14108000015
2024-12-02,114398.16108000014
2024-12-03,114435.96108000015
2024-12-04,115144.71108000015
2024-12-05,114968.94108000015
2024-12-06,115195.74108000014
2024-12-09,114583.38108000014
2024-12-10,114252.63108000014
2024-12-11,115135.26108000016
2024-12-12,114534.24108000014
2024-12-13,114509.67108000015
2024-12-16,114997.29108000016
2024-12-17,114505.89108000015
2024-12-18,111133.18608000015
2024-12-19,111081.21108000015
2024-12-20,111990.30108000014
2024-12-23,111636.87108000014
2024-12-24,113919.99108000014
2024-12-26,113924.71608000014
2024-12-27,112757.64108000015
2024-12-30,111483.78108000015
2024-12-31,111071.76108000016
